pmid,year,pub_date,title,abstract,journal,journal_abbr,pub_type,first_author,first_affiliation,doi,scopus_eid,cited_by,sjr_quartile,sjr_quartile
2-s2.0-85134339989,2022,2022 Dec,The ethical chatbot: A viable solution to socio-legal issues,,Alternative Law Journal,,Article,Ng J.,"University of Southern Queensland, Toowoomba, Australia",10.1177/1037969X221113598,2-s2.0-85134339989,14,Q3,Q3
2-s2.0-85147037677,2022,2022 Dec,The AI Act in light of the EU Digital Agenda: A critical approach,,Journal of Data Protection and Privacy,,Article,Kouroupis K.,"Frederick University, Nicosia, Cyprus",,2-s2.0-85147037677,5,Q3,Q3
2-s2.0-85188324898,2022,2022 Dec,"Can Output Produced Autonomously by AI Systems Enjoy Copyright Protection, and Should It? An Analysis of the Current Legal Position and the Search for the Way Forward",,Cornell International Law Journal,,Article,O'Callaghant C.,"Gottfried Wilhelm Leibniz Universität Hannover, Hannover, Germany",,2-s2.0-85188324898,1,Q3,Q3
2-s2.0-85143228434,2022,2022 Nov,ARTIFICIAL INTELLIGENCE: LEGAL STATUS OR LEGAL REGIME?,,Gosudarstvo I Pravo,,Article,Baturin Y.M.,"Lomonosov Moscow State University, Moscow, Russian Federation",10.31857/S102694520022606-7,2-s2.0-85143228434,0,Q3,Q3
2-s2.0-85143225577,2022,2022 Nov,"SOME ISSUES OF THE TRANSFORMATION OF LAW IN THE ERA OF DIGITALIZATION: CURRENT NORMS, DEVIATIONS AND THE VECTOR OF DEVELOPMENT",,Gosudarstvo I Pravo,,Article,Zhukov V.I.,"Institute of State and Law, Russian Academy of Sciences, Moscow, Russian Federation",10.31857/S102694520022605-6,2-s2.0-85143225577,2,Q3,Q3
2-s2.0-85143981759,2022,2022 Nov,A LEGAL FRAMEWORK FOR ARTIFICIAL INTELLIGENCE FAIRNESS REPORTING,,Cambridge Law Journal,,Article,Yap J.Q.,"National University of Singapore, Singapore City, Singapore",10.1017/S0008197322000460,2-s2.0-85143981759,18,Q3,Q3
2-s2.0-85148476263,2022,2022 Nov,Mixed Constitutions in East Asia: South Korea and Taiwan as Examples,,Law and Ethics of Human Rights,,Article,Lee Y.L.,"National Taiwan University, Taipei, Taiwan",10.1515/lehr-2022-2008,2-s2.0-85148476263,1,Q3,Q3
2-s2.0-85142509683,2022,2022 Oct,Artificial Intelligence: Legal Status Determination,,Revista De Direito Estado E Telecomunicacoes,,Article,Velykanova M.,"Taras Shevchenko National University of Kyiv, Kyiv, Ukraine",10.26512/lstr.v14i2.41802,2-s2.0-85142509683,0,Q3,Q3
2-s2.0-85171594234,2022,2022 Sep,"Artificial Intelligence, Algorithmic Society, Legal Implications. Work in Progress",,Quaderni Costituzionali,,Article,D’Aloia A.,"Università di Parma, Parma, Italy",10.1439/104918,2-s2.0-85171594234,2,Q3,Q3
2-s2.0-85160588159,2022,2022 Sep,Facial recognition technology and its risks to human rights,,Revista Criminalidad,,Article,Moyano J.E.S.,"Universidad Militar Nueva Granada, Bogota, Colombia",10.47741/17943108.366,2-s2.0-85160588159,3,Q3,Q3
2-s2.0-85158130610,2022,2022 Sep,"ARTIFICIAL INTELLIGENCE AND CORPORATE DECISIONS: FANTASY, REALITY OR DESTINY",,Catholic University Law Review,,Article,Zhao J.,"Nottingham Trent University, Nottingham, United Kingdom",,2-s2.0-85158130610,10,Q3,Q3
2-s2.0-85145221897,2022,2022 Sep,INNOVATIONS OF THE MANDATE OF THE AGENCY FOR FUNDAMENTAL RIGHTS OF THE EUROPEAN UNION,,Revista De Derecho Comunitario Europeo,,Article,Gamarra Y.,"Universidad de Zaragoza, Zaragoza, Spain",10.18042/cepc/rdce.73.02,2-s2.0-85145221897,0,Q3,Q3
2-s2.0-85135269440,2022,2022 Jul,ARTIFICIAL INTELLIGENCE AND ITS IMPACT ON THE LEGAL FRATERNITY,,Uum Journal of Legal Studies,,Article,Rajendra J.B.,"Taylor's University Malaysia, Subang Jaya, Malaysia",10.32890/uumjls2022.13.2.6,2-s2.0-85135269440,8,Q3,Q3
